infraction_description,set_fine_amount,location2
PARK ON PRIVATE PROPERTY,30,61 TOWN CENTRE CRT
PARK ON PRIVATE PROPERTY,30,61 TOWN CENTRE CRT
PARK ON PRIVATE PROPERTY,30,1137 ROYAL YORK RD
PARK ON PRIVATE PROPERTY,30,55 AMEER AVE
PARK ON PRIVATE PROPERTY,30,4700 KEELE ST
PARK ON PRIVATE PROPERTY,30,200 DAWES RD
PARK ON PRIVATE PROPERTY,30,24 EVA RD
PARK ON PRIVATE PROPERTY,30,24 EVA RD
PARK ON PRIVATE PROPERTY,30,23 KING'S COLLEGE CIRCLE
PARK ON PRIVATE PROPERTY,30,70 YORK ST
PARK ON PRIVATE PROPERTY,30,50 WELLESLEY ST E
PARK ON PRIVATE PROPERTY,30,50 WELLESLEY ST E
PARK ON PRIVATE PROPERTY,30,4141 YONGE ST
PARK ON PRIVATE PROPERTY,30,50 WELLESLEY ST E
PARK ON PRIVATE PROPERTY,30,200 QUEEN'S QUAY EAST
PARK ON PRIVATE PROPERTY,30,3284 YONGE ST
PARK ON PRIVATE PROPERTY,30,117 MCMAHON DR
PARK ON PRIVATE PROPERTY,30,117 MCMAHON DR
PARK ON PRIVATE PROPERTY,30,117 MCMAHON DR
PARK ON PRIVATE PROPERTY,30,200 QUEENS QUAY EAST
PARK ON PRIVATE PROPERTY,30,117 MCMAHON DR
PARK ON PRIVATE PROPERTY,30,4700 KEELE ST
PARK ON PRIVATE PROPERTY,30,117 MCMAHON DR
PARK ON PRIVATE PROPERTY,30,151 BEECROFT RD
PARK ON PRIVATE PROPERTY,30,4700 KEELE ST
PARK ON PRIVATE PROPERTY,30,151 BEECROFT RD
PARK ON PRIVATE PROPERTY,30,151 BEECROFT RD
PARK ON PRIVATE PROPERTY,30,168 SIMCOE ST
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E
PARK ON PRIVATE PROPERTY,30,200 QUEEN'S QUAY EAST
PARK ON PRIVATE PROPERTY,30,4700 KEELE ST
PARK ON PRIVATE PROPERTY,30,207 QUEENS QUAY W
PARK ON PRIVATE PROPERTY,30,155 REDPATH AVE
PARK ON PRIVATE PROPERTY,30,207 QUEENS QUAY W
PARK ON PRIVATE PROPERTY,30,380 THE WESTWAY
PARK ON PRIVATE PROPERTY,30,207 QUEENS QUAY W
PARK ON PRIVATE PROPERTY,30,415 DANFORTH RD
PARK ON PRIVATE PROPERTY,30,415 DANFORTH RD
PARK ON PRIVATE PROPERTY,30,151 REDPATH AVE
PARK ON PRIVATE PROPERTY,30,254 CHURCH ST
PARK ON PRIVATE PROPERTY,30,254 CHURCH ST
PARK ON PRIVATE PROPERTY,30,151 REDPATH AVE
PARK ON PRIVATE PROPERTY,30,150 SUDBURY ST
PARK ON PRIVATE PROPERTY,30,150 SUDBURY ST
PARK ON PRIVATE PROPERTY,30,1799 ST CLAIR AVE W
PARK ON PRIVATE PROPERTY,30,1799 ST CLAIR AVE W
PARK ON PRIVATE PROPERTY,30,2425 JANE ST
PARK ON PRIVATE PROPERTY,30,101 EGLINTON EAST
PARK ON PRIVATE PROPERTY,30,101 EGLINTON EAST
